group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert into RB,,40000,,,49057000.0,ns,8
Insert into RB,,40000,,,47466200.0,ns,8
Insert into RB,,40000,,,50168000.0,ns,8
Insert into RB,,40000,,,49166200.0,ns,8
Insert into RB,,40000,,,49147000.0,ns,8
Insert into RB,,40000,,,50622800.0,ns,8
Insert into RB,,40000,,,51081100.0,ns,8
Insert into RB,,40000,,,56451500.0,ns,8
Insert into RB,,40000,,,55858300.0,ns,8
Insert into RB,,40000,,,56957700.0,ns,8
Insert into RB,,40000,,,53134200.0,ns,8
Insert into RB,,40000,,,53271500.0,ns,8
Insert into RB,,40000,,,55227900.0,ns,8
Insert into RB,,40000,,,57259100.0,ns,8
Insert into RB,,40000,,,57145300.0,ns,8
Insert into RB,,40000,,,53734300.0,ns,8
Insert into RB,,40000,,,52714200.0,ns,8
Insert into RB,,40000,,,50276800.0,ns,8
Insert into RB,,40000,,,52527600.0,ns,8
Insert into RB,,40000,,,50801900.0,ns,8
Insert into RB,,40000,,,52259700.0,ns,8
Insert into RB,,40000,,,53969700.0,ns,8
Insert into RB,,40000,,,55173800.0,ns,8
Insert into RB,,40000,,,52404800.0,ns,8
Insert into RB,,40000,,,53814100.0,ns,8
Insert into RB,,40000,,,53238900.0,ns,8
Insert into RB,,40000,,,52877100.0,ns,8
Insert into RB,,40000,,,54045000.0,ns,8
Insert into RB,,40000,,,52017700.0,ns,8
Insert into RB,,40000,,,54184400.0,ns,8
Insert into RB,,40000,,,53425500.0,ns,8
Insert into RB,,40000,,,53256800.0,ns,8
Insert into RB,,40000,,,53649700.0,ns,8
Insert into RB,,40000,,,50247200.0,ns,8
Insert into RB,,40000,,,53675300.0,ns,8
Insert into RB,,40000,,,53438700.0,ns,8
Insert into RB,,40000,,,53058800.0,ns,8
Insert into RB,,40000,,,55253800.0,ns,8
Insert into RB,,40000,,,52334400.0,ns,8
Insert into RB,,40000,,,51062800.0,ns,8
Insert into RB,,40000,,,49584800.0,ns,8
Insert into RB,,40000,,,51329900.0,ns,8
Insert into RB,,40000,,,52475700.0,ns,8
Insert into RB,,40000,,,53214200.0,ns,8
Insert into RB,,40000,,,57966200.0,ns,8
Insert into RB,,40000,,,52483700.0,ns,8
Insert into RB,,40000,,,51180300.0,ns,8
Insert into RB,,40000,,,50479000.0,ns,8
Insert into RB,,40000,,,50680000.0,ns,8
Insert into RB,,40000,,,51282200.0,ns,8
Insert into RB,,40000,,,52256700.0,ns,8
Insert into RB,,40000,,,51803500.0,ns,8
Insert into RB,,40000,,,53362300.0,ns,8
Insert into RB,,40000,,,53170000.0,ns,8
Insert into RB,,40000,,,52243500.0,ns,8
Insert into RB,,40000,,,53902500.0,ns,8
Insert into RB,,40000,,,53353500.0,ns,8
Insert into RB,,40000,,,52872200.0,ns,8
Insert into RB,,40000,,,53572800.0,ns,8
Insert into RB,,40000,,,58482000.0,ns,8
Insert into RB,,40000,,,53366200.0,ns,8
Insert into RB,,40000,,,57851600.0,ns,8
Insert into RB,,40000,,,54009400.0,ns,8
Insert into RB,,40000,,,55401600.0,ns,8
Insert into RB,,40000,,,53111900.0,ns,8
Insert into RB,,40000,,,56297500.0,ns,8
Insert into RB,,40000,,,56576100.0,ns,8
Insert into RB,,40000,,,57955700.0,ns,8
Insert into RB,,40000,,,57484200.0,ns,8
Insert into RB,,40000,,,53916000.0,ns,8
Insert into RB,,40000,,,53000900.0,ns,8
Insert into RB,,40000,,,51472800.0,ns,8
Insert into RB,,40000,,,57152900.0,ns,8
Insert into RB,,40000,,,54879800.0,ns,8
Insert into RB,,40000,,,50404800.0,ns,8
Insert into RB,,40000,,,53566000.0,ns,8
Insert into RB,,40000,,,54273300.0,ns,8
Insert into RB,,40000,,,58264000.0,ns,8
Insert into RB,,40000,,,75419100.0,ns,8
Insert into RB,,40000,,,54814500.0,ns,8
Insert into RB,,40000,,,68898500.0,ns,8
Insert into RB,,40000,,,58604500.0,ns,8
Insert into RB,,40000,,,61078700.0,ns,8
Insert into RB,,40000,,,55465900.0,ns,8
Insert into RB,,40000,,,57052000.0,ns,8
Insert into RB,,40000,,,58178300.0,ns,8
Insert into RB,,40000,,,57046200.0,ns,8
Insert into RB,,40000,,,58237700.0,ns,8
Insert into RB,,40000,,,55416300.0,ns,8
Insert into RB,,40000,,,65418900.0,ns,8
Insert into RB,,40000,,,56891700.0,ns,8
Insert into RB,,40000,,,56506600.0,ns,8
Insert into RB,,40000,,,61067300.0,ns,8
Insert into RB,,40000,,,60212800.0,ns,8
Insert into RB,,40000,,,51902000.0,ns,8
Insert into RB,,40000,,,55180400.0,ns,8
Insert into RB,,40000,,,76779200.0,ns,8
Insert into RB,,40000,,,55359400.0,ns,8
Insert into RB,,40000,,,55198500.0,ns,8
Insert into RB,,40000,,,56336200.0,ns,8
