group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert into RB,,70000,,,52034200.0,ns,4
Insert into RB,,70000,,,50356400.0,ns,4
Insert into RB,,70000,,,51454900.0,ns,4
Insert into RB,,70000,,,51537300.0,ns,4
Insert into RB,,70000,,,49928700.0,ns,4
Insert into RB,,70000,,,53267500.0,ns,4
Insert into RB,,70000,,,53026900.0,ns,4
Insert into RB,,70000,,,54202700.0,ns,4
Insert into RB,,70000,,,73218600.0,ns,4
Insert into RB,,70000,,,54032100.0,ns,4
Insert into RB,,70000,,,56238100.0,ns,4
Insert into RB,,70000,,,51162800.0,ns,4
Insert into RB,,70000,,,51968800.0,ns,4
Insert into RB,,70000,,,49813900.0,ns,4
Insert into RB,,70000,,,51044200.0,ns,4
Insert into RB,,70000,,,52218500.0,ns,4
Insert into RB,,70000,,,51905500.0,ns,4
Insert into RB,,70000,,,52925300.0,ns,4
Insert into RB,,70000,,,55025700.0,ns,4
Insert into RB,,70000,,,51678500.0,ns,4
Insert into RB,,70000,,,52727300.0,ns,4
Insert into RB,,70000,,,55057700.0,ns,4
Insert into RB,,70000,,,50819000.0,ns,4
Insert into RB,,70000,,,53283900.0,ns,4
Insert into RB,,70000,,,54530400.0,ns,4
Insert into RB,,70000,,,50607900.0,ns,4
Insert into RB,,70000,,,48729200.0,ns,4
Insert into RB,,70000,,,50415500.0,ns,4
Insert into RB,,70000,,,49685400.0,ns,4
Insert into RB,,70000,,,49854900.0,ns,4
Insert into RB,,70000,,,54547800.0,ns,4
Insert into RB,,70000,,,51473300.0,ns,4
Insert into RB,,70000,,,55239200.0,ns,4
Insert into RB,,70000,,,53704500.0,ns,4
Insert into RB,,70000,,,53714000.0,ns,4
Insert into RB,,70000,,,56827100.0,ns,4
Insert into RB,,70000,,,52545700.0,ns,4
Insert into RB,,70000,,,52739500.0,ns,4
Insert into RB,,70000,,,52326100.0,ns,4
Insert into RB,,70000,,,55499300.0,ns,4
Insert into RB,,70000,,,58609100.0,ns,4
Insert into RB,,70000,,,52750500.0,ns,4
Insert into RB,,70000,,,54122600.0,ns,4
Insert into RB,,70000,,,54861200.0,ns,4
Insert into RB,,70000,,,55322600.0,ns,4
Insert into RB,,70000,,,55842900.0,ns,4
Insert into RB,,70000,,,54265100.0,ns,4
Insert into RB,,70000,,,60144700.0,ns,4
Insert into RB,,70000,,,53523700.0,ns,4
Insert into RB,,70000,,,58292600.0,ns,4
Insert into RB,,70000,,,60965300.0,ns,4
Insert into RB,,70000,,,55606000.0,ns,4
Insert into RB,,70000,,,54526700.0,ns,4
Insert into RB,,70000,,,53329200.0,ns,4
Insert into RB,,70000,,,52592600.0,ns,4
Insert into RB,,70000,,,54457200.0,ns,4
Insert into RB,,70000,,,56499200.0,ns,4
Insert into RB,,70000,,,53899300.0,ns,4
Insert into RB,,70000,,,53070400.0,ns,4
Insert into RB,,70000,,,54362700.0,ns,4
Insert into RB,,70000,,,56749200.0,ns,4
Insert into RB,,70000,,,53330800.0,ns,4
Insert into RB,,70000,,,54558200.0,ns,4
Insert into RB,,70000,,,54336300.0,ns,4
Insert into RB,,70000,,,55396000.0,ns,4
Insert into RB,,70000,,,53401900.0,ns,4
Insert into RB,,70000,,,60069800.0,ns,4
Insert into RB,,70000,,,59447400.0,ns,4
Insert into RB,,70000,,,58995100.0,ns,4
Insert into RB,,70000,,,53363300.0,ns,4
Insert into RB,,70000,,,53552900.0,ns,4
Insert into RB,,70000,,,54458200.0,ns,4
Insert into RB,,70000,,,53623000.0,ns,4
Insert into RB,,70000,,,52845200.0,ns,4
Insert into RB,,70000,,,55528900.0,ns,4
Insert into RB,,70000,,,53076000.0,ns,4
Insert into RB,,70000,,,52797200.0,ns,4
Insert into RB,,70000,,,56106000.0,ns,4
Insert into RB,,70000,,,55479300.0,ns,4
Insert into RB,,70000,,,52804600.0,ns,4
Insert into RB,,70000,,,50748300.0,ns,4
Insert into RB,,70000,,,52670200.0,ns,4
Insert into RB,,70000,,,49231100.0,ns,4
Insert into RB,,70000,,,47712400.0,ns,4
Insert into RB,,70000,,,51546900.0,ns,4
Insert into RB,,70000,,,53062800.0,ns,4
Insert into RB,,70000,,,51807600.0,ns,4
Insert into RB,,70000,,,51225600.0,ns,4
Insert into RB,,70000,,,49861800.0,ns,4
Insert into RB,,70000,,,53844400.0,ns,4
Insert into RB,,70000,,,49615300.0,ns,4
Insert into RB,,70000,,,53234700.0,ns,4
Insert into RB,,70000,,,49215600.0,ns,4
Insert into RB,,70000,,,50374000.0,ns,4
Insert into RB,,70000,,,48737000.0,ns,4
Insert into RB,,70000,,,48934000.0,ns,4
Insert into RB,,70000,,,50406100.0,ns,4
Insert into RB,,70000,,,59688100.0,ns,4
Insert into RB,,70000,,,56877700.0,ns,4
Insert into RB,,70000,,,52724400.0,ns,4
