group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree Benchmarking,,100000,,,217432700.0,ns,1
RBTree Benchmarking,,100000,,,226034900.0,ns,1
RBTree Benchmarking,,100000,,,228509500.0,ns,1
RBTree Benchmarking,,100000,,,239172900.0,ns,1
RBTree Benchmarking,,100000,,,243775400.0,ns,1
RBTree Benchmarking,,100000,,,252954600.0,ns,1
RBTree Benchmarking,,100000,,,250118500.0,ns,1
RBTree Benchmarking,,100000,,,261535600.0,ns,1
RBTree Benchmarking,,100000,,,268264500.0,ns,1
RBTree Benchmarking,,100000,,,278631500.0,ns,1
RBTree Benchmarking,,100000,,,283459300.0,ns,1
RBTree Benchmarking,,100000,,,290199000.0,ns,1
RBTree Benchmarking,,100000,,,294736600.0,ns,1
RBTree Benchmarking,,100000,,,303285700.0,ns,1
RBTree Benchmarking,,100000,,,310507000.0,ns,1
RBTree Benchmarking,,100000,,,313235300.0,ns,1
RBTree Benchmarking,,100000,,,312507100.0,ns,1
RBTree Benchmarking,,100000,,,322024300.0,ns,1
RBTree Benchmarking,,100000,,,332187500.0,ns,1
RBTree Benchmarking,,100000,,,342025900.0,ns,1
RBTree Benchmarking,,100000,,,348743300.0,ns,1
RBTree Benchmarking,,100000,,,336335100.0,ns,1
RBTree Benchmarking,,100000,,,321352500.0,ns,1
RBTree Benchmarking,,100000,,,326604200.0,ns,1
RBTree Benchmarking,,100000,,,331620000.0,ns,1
RBTree Benchmarking,,100000,,,338022300.0,ns,1
RBTree Benchmarking,,100000,,,344741100.0,ns,1
RBTree Benchmarking,,100000,,,370920300.0,ns,1
RBTree Benchmarking,,100000,,,403600500.0,ns,1
RBTree Benchmarking,,100000,,,403614500.0,ns,1
RBTree Benchmarking,,100000,,,416209900.0,ns,1
RBTree Benchmarking,,100000,,,410433700.0,ns,1
RBTree Benchmarking,,100000,,,412312700.0,ns,1
RBTree Benchmarking,,100000,,,433888500.0,ns,1
RBTree Benchmarking,,100000,,,441365600.0,ns,1
RBTree Benchmarking,,100000,,,449848900.0,ns,1
RBTree Benchmarking,,100000,,,450725300.0,ns,1
RBTree Benchmarking,,100000,,,452399300.0,ns,1
RBTree Benchmarking,,100000,,,463312700.0,ns,1
RBTree Benchmarking,,100000,,,470149100.0,ns,1
RBTree Benchmarking,,100000,,,481768400.0,ns,1
RBTree Benchmarking,,100000,,,489417500.0,ns,1
RBTree Benchmarking,,100000,,,488649500.0,ns,1
RBTree Benchmarking,,100000,,,504468000.0,ns,1
RBTree Benchmarking,,100000,,,512349000.0,ns,1
RBTree Benchmarking,,100000,,,507508300.0,ns,1
RBTree Benchmarking,,100000,,,522640700.0,ns,1
RBTree Benchmarking,,100000,,,531037000.0,ns,1
RBTree Benchmarking,,100000,,,538989800.0,ns,1
RBTree Benchmarking,,100000,,,534217500.0,ns,1
RBTree Benchmarking,,100000,,,550883100.0,ns,1
RBTree Benchmarking,,100000,,,557125200.0,ns,1
RBTree Benchmarking,,100000,,,563706400.0,ns,1
RBTree Benchmarking,,100000,,,569977100.0,ns,1
RBTree Benchmarking,,100000,,,579054200.0,ns,1
RBTree Benchmarking,,100000,,,578184300.0,ns,1
RBTree Benchmarking,,100000,,,582468800.0,ns,1
RBTree Benchmarking,,100000,,,587844600.0,ns,1
RBTree Benchmarking,,100000,,,606958700.0,ns,1
RBTree Benchmarking,,100000,,,603942000.0,ns,1
RBTree Benchmarking,,100000,,,600422800.0,ns,1
RBTree Benchmarking,,100000,,,626326600.0,ns,1
RBTree Benchmarking,,100000,,,635211000.0,ns,1
RBTree Benchmarking,,100000,,,636644700.0,ns,1
RBTree Benchmarking,,100000,,,616064300.0,ns,1
RBTree Benchmarking,,100000,,,639988400.0,ns,1
RBTree Benchmarking,,100000,,,598624000.0,ns,1
RBTree Benchmarking,,100000,,,589624600.0,ns,1
RBTree Benchmarking,,100000,,,599321100.0,ns,1
RBTree Benchmarking,,100000,,,641018100.0,ns,1
RBTree Benchmarking,,100000,,,695124800.0,ns,1
RBTree Benchmarking,,100000,,,692445600.0,ns,1
RBTree Benchmarking,,100000,,,703576300.0,ns,1
RBTree Benchmarking,,100000,,,688691600.0,ns,1
RBTree Benchmarking,,100000,,,707869100.0,ns,1
RBTree Benchmarking,,100000,,,722685700.0,ns,1
RBTree Benchmarking,,100000,,,724594100.0,ns,1
RBTree Benchmarking,,100000,,,740432300.0,ns,1
RBTree Benchmarking,,100000,,,737733600.0,ns,1
RBTree Benchmarking,,100000,,,755139000.0,ns,1
RBTree Benchmarking,,100000,,,758956800.0,ns,1
RBTree Benchmarking,,100000,,,754965500.0,ns,1
RBTree Benchmarking,,100000,,,761853400.0,ns,1
RBTree Benchmarking,,100000,,,776550700.0,ns,1
RBTree Benchmarking,,100000,,,789865900.0,ns,1
RBTree Benchmarking,,100000,,,794563900.0,ns,1
RBTree Benchmarking,,100000,,,802772600.0,ns,1
RBTree Benchmarking,,100000,,,802436200.0,ns,1
RBTree Benchmarking,,100000,,,798830000.0,ns,1
RBTree Benchmarking,,100000,,,808860500.0,ns,1
RBTree Benchmarking,,100000,,,822657400.0,ns,1
RBTree Benchmarking,,100000,,,825932900.0,ns,1
RBTree Benchmarking,,100000,,,841114500.0,ns,1
RBTree Benchmarking,,100000,,,833087900.0,ns,1
RBTree Benchmarking,,100000,,,858054700.0,ns,1
RBTree Benchmarking,,100000,,,837901800.0,ns,1
RBTree Benchmarking,,100000,,,867725100.0,ns,1
RBTree Benchmarking,,100000,,,879165200.0,ns,1
RBTree Benchmarking,,100000,,,884039200.0,ns,1
RBTree Benchmarking,,100000,,,889591700.0,ns,1
