group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree Benchmarking,,40000,,,165942400.0,ns,1
RBTree Benchmarking,,40000,,,159392500.0,ns,1
RBTree Benchmarking,,40000,,,176202100.0,ns,1
RBTree Benchmarking,,40000,,,173220800.0,ns,1
RBTree Benchmarking,,40000,,,178548800.0,ns,1
RBTree Benchmarking,,40000,,,185766900.0,ns,1
RBTree Benchmarking,,40000,,,190606500.0,ns,1
RBTree Benchmarking,,40000,,,189230500.0,ns,1
RBTree Benchmarking,,40000,,,192336300.0,ns,1
RBTree Benchmarking,,40000,,,195058000.0,ns,1
RBTree Benchmarking,,40000,,,200049200.0,ns,1
RBTree Benchmarking,,40000,,,202090500.0,ns,1
RBTree Benchmarking,,40000,,,204230400.0,ns,1
RBTree Benchmarking,,40000,,,207982300.0,ns,1
RBTree Benchmarking,,40000,,,208089800.0,ns,1
RBTree Benchmarking,,40000,,,213017300.0,ns,1
RBTree Benchmarking,,40000,,,212583500.0,ns,1
RBTree Benchmarking,,40000,,,216909100.0,ns,1
RBTree Benchmarking,,40000,,,222128100.0,ns,1
RBTree Benchmarking,,40000,,,219285000.0,ns,1
RBTree Benchmarking,,40000,,,221605000.0,ns,1
RBTree Benchmarking,,40000,,,218800200.0,ns,1
RBTree Benchmarking,,40000,,,229478700.0,ns,1
RBTree Benchmarking,,40000,,,236546500.0,ns,1
RBTree Benchmarking,,40000,,,215239200.0,ns,1
RBTree Benchmarking,,40000,,,215859100.0,ns,1
RBTree Benchmarking,,40000,,,216383600.0,ns,1
RBTree Benchmarking,,40000,,,218990400.0,ns,1
RBTree Benchmarking,,40000,,,220552500.0,ns,1
RBTree Benchmarking,,40000,,,222843700.0,ns,1
RBTree Benchmarking,,40000,,,228584300.0,ns,1
RBTree Benchmarking,,40000,,,228188300.0,ns,1
RBTree Benchmarking,,40000,,,231596700.0,ns,1
RBTree Benchmarking,,40000,,,246606000.0,ns,1
RBTree Benchmarking,,40000,,,266036500.0,ns,1
RBTree Benchmarking,,40000,,,268202900.0,ns,1
RBTree Benchmarking,,40000,,,273093100.0,ns,1
RBTree Benchmarking,,40000,,,272168700.0,ns,1
RBTree Benchmarking,,40000,,,260050600.0,ns,1
RBTree Benchmarking,,40000,,,268336700.0,ns,1
RBTree Benchmarking,,40000,,,276476100.0,ns,1
RBTree Benchmarking,,40000,,,284210300.0,ns,1
RBTree Benchmarking,,40000,,,288698200.0,ns,1
RBTree Benchmarking,,40000,,,282002500.0,ns,1
RBTree Benchmarking,,40000,,,294846900.0,ns,1
RBTree Benchmarking,,40000,,,295315000.0,ns,1
RBTree Benchmarking,,40000,,,301091500.0,ns,1
RBTree Benchmarking,,40000,,,299324100.0,ns,1
RBTree Benchmarking,,40000,,,296330300.0,ns,1
RBTree Benchmarking,,40000,,,305658200.0,ns,1
RBTree Benchmarking,,40000,,,308937200.0,ns,1
RBTree Benchmarking,,40000,,,314861000.0,ns,1
RBTree Benchmarking,,40000,,,315943100.0,ns,1
RBTree Benchmarking,,40000,,,319554300.0,ns,1
RBTree Benchmarking,,40000,,,320235200.0,ns,1
RBTree Benchmarking,,40000,,,323058300.0,ns,1
RBTree Benchmarking,,40000,,,328097700.0,ns,1
RBTree Benchmarking,,40000,,,321828500.0,ns,1
RBTree Benchmarking,,40000,,,333832500.0,ns,1
RBTree Benchmarking,,40000,,,336878000.0,ns,1
RBTree Benchmarking,,40000,,,335789300.0,ns,1
RBTree Benchmarking,,40000,,,341218900.0,ns,1
RBTree Benchmarking,,40000,,,334060800.0,ns,1
RBTree Benchmarking,,40000,,,329911000.0,ns,1
RBTree Benchmarking,,40000,,,339452300.0,ns,1
RBTree Benchmarking,,40000,,,349345000.0,ns,1
RBTree Benchmarking,,40000,,,353225900.0,ns,1
RBTree Benchmarking,,40000,,,358486800.0,ns,1
RBTree Benchmarking,,40000,,,352743100.0,ns,1
RBTree Benchmarking,,40000,,,361416500.0,ns,1
RBTree Benchmarking,,40000,,,367680500.0,ns,1
RBTree Benchmarking,,40000,,,358288600.0,ns,1
RBTree Benchmarking,,40000,,,373415700.0,ns,1
RBTree Benchmarking,,40000,,,377420600.0,ns,1
RBTree Benchmarking,,40000,,,376568600.0,ns,1
RBTree Benchmarking,,40000,,,378170900.0,ns,1
RBTree Benchmarking,,40000,,,372458600.0,ns,1
RBTree Benchmarking,,40000,,,381584200.0,ns,1
RBTree Benchmarking,,40000,,,384999400.0,ns,1
RBTree Benchmarking,,40000,,,391196500.0,ns,1
RBTree Benchmarking,,40000,,,397876700.0,ns,1
RBTree Benchmarking,,40000,,,397943700.0,ns,1
RBTree Benchmarking,,40000,,,400475100.0,ns,1
RBTree Benchmarking,,40000,,,405988300.0,ns,1
RBTree Benchmarking,,40000,,,398197800.0,ns,1
RBTree Benchmarking,,40000,,,409979600.0,ns,1
RBTree Benchmarking,,40000,,,398148400.0,ns,1
RBTree Benchmarking,,40000,,,406640000.0,ns,1
RBTree Benchmarking,,40000,,,400951000.0,ns,1
RBTree Benchmarking,,40000,,,416887800.0,ns,1
RBTree Benchmarking,,40000,,,421540900.0,ns,1
RBTree Benchmarking,,40000,,,415828500.0,ns,1
RBTree Benchmarking,,40000,,,416400600.0,ns,1
RBTree Benchmarking,,40000,,,421616600.0,ns,1
RBTree Benchmarking,,40000,,,429454400.0,ns,1
RBTree Benchmarking,,40000,,,436692300.0,ns,1
RBTree Benchmarking,,40000,,,426011500.0,ns,1
RBTree Benchmarking,,40000,,,440331000.0,ns,1
RBTree Benchmarking,,40000,,,442703900.0,ns,1
RBTree Benchmarking,,40000,,,440232200.0,ns,1
