group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree Benchmarking,Search,#,,,61156000.0,ns,3
RBTree Benchmarking,Search,#,,,60766600.0,ns,3
RBTree Benchmarking,Search,#,,,60840000.0,ns,3
RBTree Benchmarking,Search,#,,,60672500.0,ns,3
RBTree Benchmarking,Search,#,,,60761300.0,ns,3
RBTree Benchmarking,Search,#,,,59976800.0,ns,3
RBTree Benchmarking,Search,#,,,60569500.0,ns,3
RBTree Benchmarking,Search,#,,,59676100.0,ns,3
RBTree Benchmarking,Search,#,,,61041600.0,ns,3
RBTree Benchmarking,Search,#,,,60414200.0,ns,3
RBTree Benchmarking,Search,#,,,61824300.0,ns,3
RBTree Benchmarking,Search,#,,,62004800.0,ns,3
RBTree Benchmarking,Search,#,,,61848100.0,ns,3
RBTree Benchmarking,Search,#,,,61748500.0,ns,3
RBTree Benchmarking,Search,#,,,62056200.0,ns,3
RBTree Benchmarking,Search,#,,,61684700.0,ns,3
RBTree Benchmarking,Search,#,,,61758200.0,ns,3
RBTree Benchmarking,Search,#,,,61716900.0,ns,3
RBTree Benchmarking,Search,#,,,61749400.0,ns,3
RBTree Benchmarking,Search,#,,,61659800.0,ns,3
RBTree Benchmarking,Search,#,,,61681600.0,ns,3
RBTree Benchmarking,Search,#,,,61571400.0,ns,3
RBTree Benchmarking,Search,#,,,61545300.0,ns,3
RBTree Benchmarking,Search,#,,,61797700.0,ns,3
RBTree Benchmarking,Search,#,,,61442500.0,ns,3
RBTree Benchmarking,Search,#,,,60052600.0,ns,3
RBTree Benchmarking,Search,#,,,60751300.0,ns,3
RBTree Benchmarking,Search,#,,,60754800.0,ns,3
RBTree Benchmarking,Search,#,,,61421800.0,ns,3
RBTree Benchmarking,Search,#,,,60962200.0,ns,3
RBTree Benchmarking,Search,#,,,60574300.0,ns,3
RBTree Benchmarking,Search,#,,,59541400.0,ns,3
RBTree Benchmarking,Search,#,,,61422100.0,ns,3
RBTree Benchmarking,Search,#,,,60050900.0,ns,3
RBTree Benchmarking,Search,#,,,59497100.0,ns,3
RBTree Benchmarking,Search,#,,,60422300.0,ns,3
RBTree Benchmarking,Search,#,,,60066500.0,ns,3
RBTree Benchmarking,Search,#,,,61097100.0,ns,3
RBTree Benchmarking,Search,#,,,62295400.0,ns,3
RBTree Benchmarking,Search,#,,,59528100.0,ns,3
RBTree Benchmarking,Search,#,,,61518400.0,ns,3
RBTree Benchmarking,Search,#,,,59770700.0,ns,3
RBTree Benchmarking,Search,#,,,61238400.0,ns,3
RBTree Benchmarking,Search,#,,,64167200.0,ns,3
RBTree Benchmarking,Search,#,,,60479800.0,ns,3
RBTree Benchmarking,Search,#,,,61544600.0,ns,3
RBTree Benchmarking,Search,#,,,61482200.0,ns,3
RBTree Benchmarking,Search,#,,,61441900.0,ns,3
RBTree Benchmarking,Search,#,,,61441600.0,ns,3
RBTree Benchmarking,Search,#,,,61720400.0,ns,3
RBTree Benchmarking,Search,#,,,63293400.0,ns,3
RBTree Benchmarking,Search,#,,,62360400.0,ns,3
RBTree Benchmarking,Search,#,,,61210200.0,ns,3
RBTree Benchmarking,Search,#,,,62279800.0,ns,3
RBTree Benchmarking,Search,#,,,60987600.0,ns,3
RBTree Benchmarking,Search,#,,,60241200.0,ns,3
RBTree Benchmarking,Search,#,,,59410700.0,ns,3
RBTree Benchmarking,Search,#,,,59705800.0,ns,3
RBTree Benchmarking,Search,#,,,60346600.0,ns,3
RBTree Benchmarking,Search,#,,,62283100.0,ns,3
RBTree Benchmarking,Search,#,,,59911100.0,ns,3
RBTree Benchmarking,Search,#,,,59677900.0,ns,3
