group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree Benchmarking,Search,1,,,61409200.0,ns,3
RBTree Benchmarking,Search,1,,,58908300.0,ns,3
RBTree Benchmarking,Search,1,,,58956300.0,ns,3
RBTree Benchmarking,Search,1,,,58968500.0,ns,3
RBTree Benchmarking,Search,1,,,58964500.0,ns,3
RBTree Benchmarking,Search,1,,,58949900.0,ns,3
RBTree Benchmarking,Search,1,,,58852800.0,ns,3
RBTree Benchmarking,Search,1,,,60887100.0,ns,3
RBTree Benchmarking,Search,1,,,60308200.0,ns,3
RBTree Benchmarking,Search,1,,,59558500.0,ns,3
RBTree Benchmarking,Search,1,,,59237000.0,ns,3
RBTree Benchmarking,Search,1,,,58616900.0,ns,3
RBTree Benchmarking,Search,1,,,58830900.0,ns,3
RBTree Benchmarking,Search,1,,,60239700.0,ns,3
RBTree Benchmarking,Search,1,,,59170500.0,ns,3
RBTree Benchmarking,Search,1,,,59906000.0,ns,3
RBTree Benchmarking,Search,1,,,61066300.0,ns,3
RBTree Benchmarking,Search,1,,,59603900.0,ns,3
RBTree Benchmarking,Search,1,,,58795900.0,ns,3
RBTree Benchmarking,Search,1,,,58707400.0,ns,3
RBTree Benchmarking,Search,1,,,58727500.0,ns,3
RBTree Benchmarking,Search,1,,,58756900.0,ns,3
RBTree Benchmarking,Search,1,,,58779500.0,ns,3
RBTree Benchmarking,Search,1,,,58820600.0,ns,3
RBTree Benchmarking,Search,1,,,60130100.0,ns,3
RBTree Benchmarking,Search,1,,,58937000.0,ns,3
RBTree Benchmarking,Search,1,,,60170200.0,ns,3
RBTree Benchmarking,Search,1,,,58836300.0,ns,3
RBTree Benchmarking,Search,1,,,58957800.0,ns,3
RBTree Benchmarking,Search,1,,,59541600.0,ns,3
RBTree Benchmarking,Search,1,,,58901400.0,ns,3
RBTree Benchmarking,Search,1,,,59138700.0,ns,3
RBTree Benchmarking,Search,1,,,59111900.0,ns,3
RBTree Benchmarking,Search,1,,,60153400.0,ns,3
RBTree Benchmarking,Search,1,,,58915700.0,ns,3
RBTree Benchmarking,Search,1,,,60396900.0,ns,3
RBTree Benchmarking,Search,1,,,59261400.0,ns,3
RBTree Benchmarking,Search,1,,,59197600.0,ns,3
RBTree Benchmarking,Search,1,,,59290300.0,ns,3
RBTree Benchmarking,Search,1,,,61401000.0,ns,3
